"id";"id_str";"last_id_str";"retweet_count";"favorite_count";"consulted_in";"createdAt";"created_at";"updated_at"
380;"863587335757336585";"1415018742589820938";0;1;"2021-07-14 13:01:34";"2021-07-14 13:01:34";"2021-07-14 13:01:34";"2021-07-14 13:01:34"
381;"57906445";"1415322889272844292";1;13;"2021-07-14 13:01:35";"2021-07-14 13:01:35";"2021-07-14 13:01:35";"2021-07-14 13:01:35"
382;"717744189774151680";"1413300707881635848";2;61;"2021-07-14 13:01:37";"2021-07-14 13:01:37";"2021-07-14 13:01:37";"2021-07-14 13:01:37"
383;"140669124";"1413634332175052800";30;0;"2021-07-14 13:01:38";"2021-07-14 13:01:38";"2021-07-14 13:01:38";"2021-07-14 13:01:38"
384;"429751053";"1412396559782879235";1;8;"2021-07-14 13:01:40";"2021-07-14 13:01:40";"2021-07-14 13:01:40";"2021-07-14 13:01:40"
385;"164696186";"1415298128283058182";1;1;"2021-07-14 13:01:41";"2021-07-14 13:01:41";"2021-07-14 13:01:41";"2021-07-14 13:01:41"
386;"179650596";"1415272630517698561";11;0;"2021-07-14 13:01:43";"2021-07-14 13:01:43";"2021-07-14 13:01:43";"2021-07-14 13:01:43"
387;"264391266";"1415264533829017603";37;0;"2021-07-14 13:01:44";"2021-07-14 13:01:44";"2021-07-14 13:01:44";"2021-07-14 13:01:44"
388;"48515258";"1415296214556368897";1;0;"2021-07-14 13:01:46";"2021-07-14 13:01:46";"2021-07-14 13:01:46";"2021-07-14 13:01:46"
389;"3181396187";"1415324710607495169";2;7;"2021-07-14 13:01:47";"2021-07-14 13:01:47";"2021-07-14 13:01:47";"2021-07-14 13:01:47"
390;"2900528733";"1415238300957347842";0;2;"2021-07-14 13:01:48";"2021-07-14 13:01:48";"2021-07-14 13:01:48";"2021-07-14 13:01:48"
391;"1267667511895633921";"1415090782999089155";18;0;"2021-07-14 13:01:50";"2021-07-14 13:01:50";"2021-07-14 13:01:50";"2021-07-14 13:01:50"
392;"176269387";"1405151412493901824";42;0;"2021-07-14 13:01:52";"2021-07-14 13:01:52";"2021-07-14 13:01:52";"2021-07-14 13:01:52"
393;"58538668";"1415073439233216513";22;129;"2021-07-14 13:01:53";"2021-07-14 13:01:53";"2021-07-14 13:01:53";"2021-07-14 13:01:53"
394;"626138471";"1415028415015628804";2;5;"2021-07-14 13:01:55";"2021-07-14 13:01:55";"2021-07-14 13:01:55";"2021-07-14 13:01:55"
395;"55152459";"1415280425094819843";0;0;"2021-07-14 13:01:56";"2021-07-14 13:01:56";"2021-07-14 13:01:56";"2021-07-14 13:01:56"
396;"3294107902";"1415128014204067840";698;0;"2021-07-14 13:01:58";"2021-07-14 13:01:58";"2021-07-14 13:01:58";"2021-07-14 13:01:58"
397;"33014349";"1413848037122838538";1;0;"2021-07-14 13:01:59";"2021-07-14 13:01:59";"2021-07-14 13:01:59";"2021-07-14 13:01:59"
398;"3084916883";"1415290254437896192";0;0;"2021-07-14 13:02:01";"2021-07-14 13:02:01";"2021-07-14 13:02:01";"2021-07-14 13:02:01"
399;"153563550";"1415296768607145984";11;0;"2021-07-14 13:02:03";"2021-07-14 13:02:03";"2021-07-14 13:02:03";"2021-07-14 13:02:03"
400;"218355933";"1415300072447823873";2;0;"2021-07-14 13:02:04";"2021-07-14 13:02:04";"2021-07-14 13:02:04";"2021-07-14 13:02:04"
401;"256661112";"1414693914397847552";0;2;"2021-07-14 13:02:07";"2021-07-14 13:02:07";"2021-07-14 13:02:07";"2021-07-14 13:02:07"
402;"823535524610797569";"1414705695048536065";105;0;"2021-07-14 13:02:08";"2021-07-14 13:02:08";"2021-07-14 13:02:08";"2021-07-14 13:02:08"
