"id";"id_str";"followers_count";"created_at";"updated_at"
4329;"1081389350137532416";63;"2021-07-05 17:07:18";"2021-07-05 17:07:18"
4344;"798892388366381056";479107;"2021-07-05 17:08:17";"2021-07-05 17:08:17"
4359;"1084783141";6386;"2021-07-05 17:09:17";"2021-07-05 17:09:17"
4374;"1081389350137532416";63;"2021-07-05 17:10:17";"2021-07-05 17:10:17"
4389;"1335942718040793091";437;"2021-07-05 17:11:17";"2021-07-05 17:11:17"
4404;"1084783141";6386;"2021-07-05 17:12:17";"2021-07-05 17:12:17"
4419;"798892388366381056";479107;"2021-07-05 17:12:37";"2021-07-05 17:12:37"
4434;"1081389350137532416";63;"2021-07-05 17:13:37";"2021-07-05 17:13:37"
4439;"68712576";2140540;"2021-07-05 17:14:31";"2021-07-05 17:14:31"
4449;"1335942718040793091";438;"2021-07-05 17:14:32";"2021-07-05 17:14:32"
4450;"2670726740";2642484;"2021-07-05 17:15:31";"2021-07-05 17:15:31"
4464;"68712576";2140540;"2021-07-05 17:15:32";"2021-07-05 17:15:32"
4472;"1084783141";6386;"2021-07-05 17:16:31";"2021-07-05 17:16:31"
4480;"185344587";1852398;"2021-07-05 17:16:32";"2021-07-05 17:16:32"
4504;"1335942718040793091";438;"2021-07-05 17:50:15";"2021-07-05 17:50:15"
4514;"813286";129699313;"2021-07-06 00:24:15";"2021-07-06 00:24:15"
4533;"127285692";3551;"2021-07-06 00:24:51";"2021-07-06 00:24:51"
4534;"155659213";92658053;"2021-07-06 00:25:41";"2021-07-06 00:25:41"
4535;"128372940";6854386;"2021-07-06 00:29:34";"2021-07-06 00:29:34"
4575;"342994346";255792;"2021-07-06 00:40:47";"2021-07-06 00:40:47"
4612;"1335942718040793091";438;"2021-07-06 00:43:43";"2021-07-06 00:43:43"
4615;"63508635";19039;"2021-07-06 00:43:44";"2021-07-06 00:43:44"
4635;"185344587";1852373;"2021-07-06 00:44:43";"2021-07-06 00:44:43"
4675;"68712576";2141747;"2021-07-06 20:50:28";"2021-07-06 20:50:28"
4708;"1335942718040793091";441;"2021-07-07 13:59:44";"2021-07-07 13:59:44"
4715;"1335942718040793091";441;"2021-07-07 13:59:45";"2021-07-07 13:59:45"
4716;"33014349";5634;"2021-07-08 09:47:22";"2021-07-08 09:47:22"
4758;"127285692";3555;"2021-07-08 09:48:10";"2021-07-08 09:48:10"
4759;"1081389350137532416";63;"2021-07-08 09:54:06";"2021-07-08 09:54:06"
4815;"54223926";23962;"2021-07-08 16:51:36";"2021-07-08 16:51:36"
5182;"85859074";18295;"2021-07-08 16:51:37";"2021-07-08 16:51:37"
5187;"583377940";7983;"2021-07-08 16:51:38";"2021-07-08 16:51:38"
5328;"78714361";2643;"2021-07-08 16:52:36";"2021-07-08 16:52:36"
5401;"2317252641";1454;"2021-07-08 16:52:37";"2021-07-08 16:52:37"
5615;"74849428";6244;"2021-07-08 16:53:36";"2021-07-08 16:53:36"
5659;"1095733666003800064";286;"2021-07-08 16:54:36";"2021-07-08 16:54:36"
5822;"27166575";1369;"2021-07-08 17:06:37";"2021-07-08 17:06:37"
5873;"24761253";5266;"2021-07-08 17:06:38";"2021-07-08 17:06:38"
5945;"140480459";40543;"2021-07-08 17:07:38";"2021-07-08 17:07:38"
6087;"27166575";1369;"2021-07-08 17:07:39";"2021-07-08 17:07:39"
6250;"632737286";1042;"2021-07-08 17:08:37";"2021-07-08 17:08:37"
6301;"57906445";20965;"2021-07-08 17:08:38";"2021-07-08 17:08:38"
6307;"632737286";1042;"2021-07-08 17:09:41";"2021-07-08 17:09:41"
6412;"18888488";145847;"2021-07-08 17:09:42";"2021-07-08 17:09:42"
6504;"1909765362";165;"2021-07-08 17:09:43";"2021-07-08 17:09:43"
6515;"1267667511895633921";215;"2021-07-08 17:09:44";"2021-07-08 17:09:44"
6521;"813286";129711090;"2021-07-08 17:10:41";"2021-07-08 17:10:41"
6527;"2793462577";1618;"2021-07-08 17:10:42";"2021-07-08 17:10:42"
6531;"116751115";2487;"2021-07-08 17:10:43";"2021-07-08 17:10:43"
6543;"1335942718040793091";441;"2021-07-08 17:10:44";"2021-07-08 17:10:44"
6552;"626138471";346;"2021-07-08 17:10:45";"2021-07-08 17:10:45"
6558;"256661112";245;"2021-07-08 17:10:46";"2021-07-08 17:10:46"
6559;"27166575";1369;"2021-07-08 17:10:47";"2021-07-08 17:10:47"
6572;"1113965533542719488";1471;"2021-07-08 17:21:45";"2021-07-08 17:21:45"
6577;"98934540";570;"2021-07-08 17:21:46";"2021-07-08 17:21:46"
6584;"1081389350137532416";63;"2021-07-08 17:21:47";"2021-07-08 17:21:47"
6598;"176269387";105;"2021-07-08 17:21:48";"2021-07-08 17:21:48"
6602;"74849428";6244;"2021-07-08 17:21:49";"2021-07-08 17:21:49"
