"id";"max_id_str";"id_str";"count";"created_at";"updated_at"
947;"1415118956340281344";"48515258";0;"2021-07-13 23:59:59";"2021-07-13 23:59:59"
948;"1415141836990173186";"3181396187";15;"2021-07-14 00:00:05";"2021-07-14 00:00:05"
949;"1415142010395283462";"2900528733";15;"2021-07-14 00:00:11";"2021-07-14 00:00:11"
950;"1414955234812735495";"1267667511895633921";15;"2021-07-14 00:00:17";"2021-07-14 00:00:17"
951;"";"176269387";0;"2021-07-14 00:00:23";"2021-07-14 00:00:23"
952;"1415136637609197572";"58538668";15;"2021-07-14 00:00:29";"2021-07-14 00:00:29"
953;"1415078042188271621";"626138471";15;"2021-07-14 00:00:35";"2021-07-14 00:00:35"
954;"1415051860793245698";"55152459";15;"2021-07-14 00:00:41";"2021-07-14 00:00:41"
955;"1414302531631689728";"3294107902";3;"2021-07-14 00:00:47";"2021-07-14 00:00:47"
956;"1413932644988080130";"33014349";7;"2021-07-14 00:00:53";"2021-07-14 00:00:53"
957;"1415048433476460547";"3084916883";15;"2021-07-14 00:00:59";"2021-07-14 00:00:59"
958;"1414735342570074115";"153563550";15;"2021-07-14 00:01:05";"2021-07-14 00:01:05"
959;"1415128271063326722";"218355933";9;"2021-07-14 00:01:11";"2021-07-14 00:01:11"
960;"1414711606739673089";"27166575";1;"2021-07-14 00:01:17";"2021-07-14 00:01:17"
961;"1412610870870429696";"256661112";1;"2021-07-14 00:01:23";"2021-07-14 00:01:23"
962;"1413497177867882508";"823535524610797569";1;"2021-07-14 00:01:29";"2021-07-14 00:01:29"
963;"1413183508466610176";"292023005";8;"2021-07-14 00:01:35";"2021-07-14 00:01:35"
964;"1414686313429798914";"98934540";12;"2021-07-14 00:01:41";"2021-07-14 00:01:41"
965;"1414704966296645635";"149115340";15;"2021-07-14 00:01:47";"2021-07-14 00:01:47"
966;"1415098551953199110";"54627754";15;"2021-07-14 00:01:53";"2021-07-14 00:01:53"
967;"1415093558336528386";"1226849278087352320";2;"2021-07-14 00:01:59";"2021-07-14 00:01:59"
968;"1414877629832998921";"46927498";15;"2021-07-14 00:02:05";"2021-07-14 00:02:05"
969;"1414904627452076037";"44251759";15;"2021-07-14 00:02:11";"2021-07-14 00:02:11"
970;"";"60053376";0;"2021-07-14 00:02:17";"2021-07-14 00:02:17"
971;"1413854680241905668";"24761253";8;"2021-07-14 00:02:23";"2021-07-14 00:02:23"
972;"1414539663864381440";"274679920";1;"2021-07-14 00:02:29";"2021-07-14 00:02:29"
973;"1414948093167079432";"1016611112";15;"2021-07-14 00:02:35";"2021-07-14 00:02:35"
974;"1415071768591618051";"169177005";15;"2021-07-14 00:02:41";"2021-07-14 00:02:41"
975;"1415137119333408771";"1080814654195204096";15;"2021-07-14 00:02:47";"2021-07-14 00:02:47"
976;"1415025832184229892";"211036828";7;"2021-07-14 00:02:53";"2021-07-14 00:02:53"
977;"1412476758088159233";"1606503036";1;"2021-07-14 00:02:59";"2021-07-14 00:02:59"
978;"";"165113436";0;"2021-07-14 00:03:05";"2021-07-14 00:03:05"
979;"1414679364789227521";"169739656";3;"2021-07-14 00:03:11";"2021-07-14 00:03:11"
980;"1413620218841153543";"88502425";1;"2021-07-14 00:03:17";"2021-07-14 00:03:17"
981;"1413844862231842822";"54223926";5;"2021-07-14 00:03:23";"2021-07-14 00:03:23"
982;"1415132526700597250";"36778216";15;"2021-07-14 00:03:29";"2021-07-14 00:03:29"
983;"1415101807618101257";"18888488";15;"2021-07-14 00:03:35";"2021-07-14 00:03:35"
984;"1413867319193899008";"1002217423037255681";12;"2021-07-14 00:03:41";"2021-07-14 00:03:41"
985;"1414934419849236490";"399115403";6;"2021-07-14 00:03:47";"2021-07-14 00:03:47"
986;"1414737414606704644";"265024488";10;"2021-07-14 00:03:53";"2021-07-14 00:03:53"
987;"";"160537024";0;"2021-07-14 00:03:59";"2021-07-14 00:03:59"
988;"";"2601784207";0;"2021-07-14 00:04:05";"2021-07-14 00:04:05"
989;"1415001230343086081";"1307554087";13;"2021-07-14 00:04:12";"2021-07-14 00:04:12"
990;"1414654002910961664";"2209910422";1;"2021-07-14 00:04:17";"2021-07-14 00:04:17"
991;"1415126938436448261";"85859074";15;"2021-07-14 00:04:23";"2021-07-14 00:04:23"
992;"1415145052368687109";"106134926";15;"2021-07-14 00:04:29";"2021-07-14 00:04:29"
993;"1415136912843608065";"1436541721";15;"2021-07-14 00:04:35";"2021-07-14 00:04:35"
994;"1414525195684089857";"3183992440";15;"2021-07-14 00:04:42";"2021-07-14 00:04:42"
995;"1414386250270773252";"1155204531942301698";1;"2021-07-14 00:04:47";"2021-07-14 00:04:47"
996;"1415145236817489926";"1351188841558913025";15;"2021-07-14 00:04:53";"2021-07-14 00:04:53"
997;"1415145233982050308";"158487331";15;"2021-07-14 00:04:59";"2021-07-14 00:04:59"
998;"";"750092719121375232";0;"2021-07-14 00:05:05";"2021-07-14 00:05:05"
999;"1415145276751454213";"762402774260875265";15;"2021-07-14 00:05:11";"2021-07-14 00:05:11"
1000;"1415144878556725248";"354095556";15;"2021-07-14 00:05:18";"2021-07-14 00:05:18"
1001;"1415088487280390148";"1335942718040793091";15;"2021-07-14 00:05:23";"2021-07-14 00:05:23"
1002;"1415144505112727561";"1024403315164160000";15;"2021-07-14 00:05:29";"2021-07-14 00:05:29"
1003;"1415144505112727561";"1024403315164160000";0;"2021-07-14 00:05:35";"2021-07-14 00:05:35"
1004;"1415145052368687109";"1050121324436307970";15;"2021-07-14 00:05:41";"2021-07-14 00:05:41"
1005;"1415088487280390148";"1335942718040793091";0;"2021-07-14 00:05:47";"2021-07-14 00:05:47"
1006;"1415145489390047232";"2445921702";15;"2021-07-14 00:05:53";"2021-07-14 00:05:53"
1007;"1415145351841992704";"4250596815";15;"2021-07-14 00:05:59";"2021-07-14 00:05:59"
1008;"1415145440408915970";"126436384";15;"2021-07-14 00:06:05";"2021-07-14 00:06:05"
1009;"1415145503856242691";"528507920";15;"2021-07-14 00:06:11";"2021-07-14 00:06:11"
1010;"1415145552396832768";"28273230";15;"2021-07-14 00:06:17";"2021-07-14 00:06:17"
1011;"1415145616326463489";"33374761";15;"2021-07-14 00:06:23";"2021-07-14 00:06:23"
1012;"1415088487280390148";"1335942718040793091";0;"2021-07-14 00:06:29";"2021-07-14 00:06:29"
1013;"1414386250270773252";"1155204531942301698";0;"2021-07-14 00:06:35";"2021-07-14 00:06:35"
1014;"1415137119333408771";"1080814654195204096";0;"2021-07-14 00:06:41";"2021-07-14 00:06:41"
